지역,연도,배출량,면적,면적당_배출량
대구광역시,2010,113.67,885.0,0.1284406779661017
대구광역시,2010,26.74,885.0,0.03021468926553672
대구광역시,2010,38.56,885.0,0.043570621468926554
대구광역시,2010,33.34,885.0,0.037672316384180796
대구광역시,2010,14.49,885.0,0.016372881355932203
대구광역시,2010,0.0,885.0,0.0
대구광역시,2010,0.13,885.0,0.00014689265536723165
대구광역시,2010,0.01,885.0,1.1299435028248587e-05
대구광역시,2010,0.39,885.0,0.00044067796610169495
대구광역시,2010,0.0,885.0,0.0
대구광역시,2010,0.0,885.0,0.0
대구광역시,2010,-1571.54,885.0,-1.7757514124293785
대구광역시,2010,-1641.14,885.0,-1.8543954802259888
대구광역시,2010,62.78,885.0,0.07093785310734463
대구광역시,2010,-3.45,885.0,-0.003898305084745763
대구광역시,2010,7.98,885.0,0.009016949152542373
대구광역시,2010,0.0,885.0,0.0
대구광역시,2010,0.0,885.0,0.0
대구광역시,2010,2.29,885.0,0.0025875706214689266
대구광역시,2010,0.0,885.0,0.0
대구광역시,2010,267.8,885.0,0.3025988700564972
대구광역시,2010,124.4,885.0,0.14056497175141244
대구광역시,2010,0.0,885.0,0.0
대구광역시,2010,10.22,885.0,0.011548022598870058
대구광역시,2010,133.19,885.0,0.15049717514124294
대구광역시,2010,0.0,885.0,0.0
인천광역시,2010,51760.28,1067.0,48.5101030927835
인천광역시,2010,50760.15,1067.0,47.57277413308341
인천광역시,2010,46341.31,1067.0,43.43140581068416
인천광역시,2010,46077.91,1067.0,43.18454545454546
인천광역시,2010,35708.7,1067.0,33.466447985004685
인천광역시,2010,2326.33,1067.0,2.180253045923149
인천광역시,2010,5185.14,1067.0,4.859550140581069
인천광역시,2010,2759.4,1067.0,2.586129334582943
인천광역시,2010,98.35,1067.0,0.09217432052483598
인천광역시,2010,263.4,1067.0,0.24686035613870663
인천광역시,2010,0.0,1067.0,0.0
인천광역시,2010,263.4,1067.0,0.24686035613870663
인천광역시,2010,1476.71,1067.0,1.3839831302717902
인천광역시,2010,150.56,1067.0,0.14110590440487347
인천광역시,2010,994.23,1067.0,0.9317994376757264
인천광역시,2010,86.17,1067.0,0.08075913776944704
인천광역시,2010,30.98,1067.0,0.029034676663542643
인천광역시,2010,0.0,1067.0,0.0
인천광역시,2010,0.0,1067.0,0.0
인천광역시,2010,214.77,1067.0,0.20128397375820056
인천광역시,2010,257.05,1067.0,0.2409090909090909
인천광역시,2010,39.9,1067.0,0.03739456419868791
인천광역시,2010,30.41,1067.0,0.028500468603561386
인천광역시,2010,159.67,1067.0,0.1496438612933458
인천광역시,2010,25.2,1067.0,0.023617619493908153
인천광역시,2010,0.0,1067.0,0.0
인천광역시,2010,0.23,1067.0,0.0002155576382380506
인천광역시,2010,0.04,1067.0,3.748828491096532e-05
인천광역시,2010,1.6,1067.0,0.001499531396438613
인천광역시,2010,0.0,1067.0,0.0
인천광역시,2010,0.0,1067.0,0.0
인천광역시,2010,-1000.14,1067.0,-0.9373383317713214
인천광역시,2010,-930.66,1067.0,-0.8722211808809747
인천광역시,2010,58.49,1067.0,0.054817244611059045
인천광역시,2010,-1.41,1067.0,-0.0013214620431115276
인천광역시,2010,4.34,1067.0,0.004067478912839737
인천광역시,2010,0.0,1067.0,0.0
인천광역시,2010,0.0,1067.0,0.0
인천광역시,2010,-130.89,1067.0,-0.12267104029990626
인천광역시,2010,0.0,1067.0,0.0
인천광역시,2010,3685.21,1067.0,3.453805060918463
인천광역시,2010,3388.76,1067.0,3.1759700093720715
인천광역시,2010,1.76,1067.0,0.0016494845360824743
인천광역시,2010,178.27,1067.0,0.16707591377694472
인천광역시,2010,116.42,1067.0,0.10910965323336458
인천광역시,2010,0.0,1067.0,0.0
광주광역시,2010,5534.61,501.0,11.047125748502994
광주광역시,2010,5878.16,501.0,11.732854291417166
광주광역시,2010,4866.37,501.0,9.713313373253493
광주광역시,2010,4865.22,501.0,9.711017964071857
광주광역시,2010,448.65,501.0,0.8955089820359281
광주광역시,2010,433.04,501.0,0.8643512974051897
광주광역시,2010,2463.34,501.0,4.91684630738523
광주광역시,2010,1472.95,501.0,2.9400199600798405
광주광역시,2010,47.24,501.0,0.09429141716566866
광주광역시,2010,1.15,501.0,0.0022954091816367265
광주광역시,2010,0.0,501.0,0.0
광주광역시,2010,1.15,501.0,0.0022954091816367265
광주광역시,2010,84.84,501.0,0.16934131736526947
광주광역시,2010,0.0,501.0,0.0
광주광역시,2010,0.0,501.0,0.0
광주광역시,2010,0.0,501.0,0.0
광주광역시,2010,0.9,501.0,0.0017964071856287425
광주광역시,2010,0.16,501.0,0.0003193612774451098
광주광역시,2010,0.0,501.0,0.0
광주광역시,2010,83.79,501.0,0.16724550898203594
광주광역시,2010,104.3,501.0,0.20818363273453094
광주광역시,2010,11.81,501.0,0.023572854291417165
광주광역시,2010,8.67,501.0,0.017305389221556885
광주광역시,2010,69.96,501.0,0.13964071856287424
광주광역시,2010,11.57,501.0,0.0230938123752495
광주광역시,2010,0.0,501.0,0.0
광주광역시,2010,1.46,501.0,0.0029141716566866266
광주광역시,2010,0.02,501.0,3.9920159680638724e-05
광주광역시,2010,0.81,501.0,0.0016167664670658684
광주광역시,2010,0.0,501.0,0.0
광주광역시,2010,0.0,501.0,0.0
광주광역시,2010,343.55,501.0,0.6857285429141717
광주광역시,2010,291.87,501.0,0.5825748502994013
광주광역시,2010,50.2,501.0,0.1001996007984032
광주광역시,2010,-0.46,501.0,-0.0009181636726546907
광주광역시,2010,1.93,501.0,0.0038522954091816364
광주광역시,2010,0.0,501.0,0.0
광주광역시,2010,0.0,501.0,0.0
광주광역시,2010,0.0,501.0,0.0
광주광역시,2010,0.0,501.0,0.0
광주광역시,2010,479.1,501.0,0.9562874251497007
광주광역시,2010,358.41,501.0,0.7153892215568862
광주광역시,2010,0.0,501.0,0.0
광주광역시,2010,86.66,501.0,0.17297405189620757
광주광역시,2010,34.03,501.0,0.06792415169660679
광주광역시,2010,0.0,501.0,0.0
대전광역시,2010,5853.15,540.0,10.839166666666666
대전광역시,2010,5420.32,540.0,10.03762962962963
대전광역시,2010,5152.99,540.0,9.542574074074073
대전광역시,2010,5139.21,540.0,9.517055555555556
대전광역시,2010,570.04,540.0,1.0556296296296295
대전광역시,2010,327.32,540.0,0.6061481481481481
대전광역시,2010,2445.18,540.0,4.5281111111111105
대전광역시,2010,1788.77,540.0,3.312537037037037
대전광역시,2010,7.89,540.0,0.014611111111111111
대전광역시,2010,13.78,540.0,0.025518518518518517
대전광역시,2010,12.48,540.0,0.023111111111111114
대전광역시,2010,1.3,540.0,0.0024074074074074076
대전광역시,2010,95.24,540.0,0.17637037037037037
대전광역시,2010,2.6,540.0,0.004814814814814815
대전광역시,2010,0.0,540.0,0.0
대전광역시,2010,0.0,540.0,0.0
대전광역시,2010,2.92,540.0,0.005407407407407408
대전광역시,2010,0.0,540.0,0.0
대전광역시,2010,0.0,540.0,0.0
대전광역시,2010,89.73,540.0,0.16616666666666668
대전광역시,2010,18.01,540.0,0.033351851851851855
대전광역시,2010,7.61,540.0,0.014092592592592592
대전광역시,2010,3.35,540.0,0.0062037037037037035
대전광역시,2010,4.89,540.0,0.009055555555555555
대전광역시,2010,2.04,540.0,0.003777777777777778
대전광역시,2010,0.0,540.0,0.0
대전광역시,2010,0.03,540.0,5.555555555555555e-05
대전광역시,2010,0.0,540.0,0.0
대전광역시,2010,0.09,540.0,0.00016666666666666666
대전광역시,2010,0.0,540.0,0.0
대전광역시,2010,0.0,540.0,0.0
대전광역시,2010,-432.83,540.0,-0.801537037037037
대전광역시,2010,-486.45,540.0,-0.9008333333333333
대전광역시,2010,29.9,540.0,0.05537037037037037
대전광역시,2010,-0.24,540.0,-0.0004444444444444444
대전광역시,2010,3.18,540.0,0.005888888888888889
대전광역시,2010,0.0,540.0,0.0
대전광역시,2010,0.0,540.0,0.0
대전광역시,2010,20.77,540.0,0.03846296296296296
대전광역시,2010,0.0,540.0,0.0
대전광역시,2010,586.89,540.0,1.0868333333333333
대전광역시,2010,466.41,540.0,0.8637222222222223
대전광역시,2010,1.34,540.0,0.0024814814814814816
대전광역시,2010,72.62,540.0,0.13448148148148148
대전광역시,2010,46.54,540.0,0.08618518518518518
대전광역시,2010,0.0,540.0,0.0
울산광역시,2010,35504.08,1063.0,33.39988711194732
울산광역시,2010,33978.81,1063.0,31.96501411100658
울산광역시,2010,26752.27,1063.0,25.166763875823143
울산광역시,2010,26678.86,1063.0,25.097704609595485
울산광역시,2010,14755.05,1063.0,13.880573847601129
울산광역시,2010,7992.36,1063.0,7.51868297271872
울산광역시,2010,2050.87,1063.0,1.9293226716839134
울산광역시,2010,1352.77,1063.0,1.272596425211665
울산광역시,2010,527.81,1063.0,0.49652869238005637
울산광역시,2010,73.41,1063.0,0.06905926622765757
울산광역시,2010,0.0,1063.0,0.0
울산광역시,2010,73.41,1063.0,0.06905926622765757
울산광역시,2010,7397.33,1063.0,6.958918156161806
울산광역시,2010,36.28,1063.0,0.034129821260583254
울산광역시,2010,6973.36,1063.0,6.560075258701787
울산광역시,2010,76.81,1063.0,0.07225776105362183
울산광역시,2010,57.04,1063.0,0.05365945437441204
울산광역시,2010,0.0,1063.0,0.0
울산광역시,2010,0.0,1063.0,0.0
울산광역시,2010,253.84,1063.0,0.2387958607714017
울산광역시,2010,185.32,1063.0,0.17433678269049857
울산광역시,2010,54.04,1063.0,0.05083725305738476
울산광역시,2010,29.36,1063.0,0.02761994355597366
울산광역시,2010,83.57,1063.0,0.07861712135465662
울산광역시,2010,17.45,1063.0,0.01641580432737535
울산광역시,2010,0.0,1063.0,0.0
울산광역시,2010,0.05,1063.0,4.7036688617121355e-05
울산광역시,2010,0.02,1063.0,1.881467544684854e-05
울산광역시,2010,0.82,1063.0,0.0007714016933207902
울산광역시,2010,0.0,1063.0,0.0
울산광역시,2010,0.0,1063.0,0.0
울산광역시,2010,-1525.27,1063.0,-1.4348730009407338
울산광역시,2010,-1577.21,1063.0,-1.4837347130761995
울산광역시,2010,40.02,1063.0,0.03764816556914394
울산광역시,2010,-2.2,1063.0,-0.0020696142991533397
울산광역시,2010,3.89,1063.0,0.0036594543744120417
울산광역시,2010,0.0,1063.0,0.0
울산광역시,2010,0.0,1063.0,0.0
울산광역시,2010,10.23,1063.0,0.00962370649106303
울산광역시,2010,0.0,1063.0,0.0
울산광역시,2010,1169.17,1063.0,1.0998777046095956
울산광역시,2010,881.6,1063.0,0.8293508936970837
울산광역시,2010,5.79,1063.0,0.005446848541862653
울산광역시,2010,243.93,1063.0,0.22947318908748826
울산광역시,2010,37.85,1063.0,0.035606773283160864
울산광역시,2010,0.0,1063.0,0.0
세종특별자치도,2010,657.07,,
세종특별자치도,2010,782.46,,
세종특별자치도,2010,428.99,,
세종특별자치도,2010,428.99,,
세종특별자치도,2010,0.13,,
세종특별자치도,2010,61.29,,
세종특별자치도,2010,252.88,,
세종특별자치도,2010,93.67,,
세종특별자치도,2010,21.02,,
세종특별자치도,2010,0.0,,
세종특별자치도,2010,0.0,,
세종특별자치도,2010,0.0,,
세종특별자치도,2010,19.87,,
세종특별자치도,2010,1.85,,
세종특별자치도,2010,0.0,,
세종특별자치도,2010,0.0,,
세종특별자치도,2010,1.03,,
세종특별자치도,2010,3.34,,
세종특별자치도,2010,0.0,,
세종특별자치도,2010,13.65,,
세종특별자치도,2010,169.02,,
세종특별자치도,2010,50.1,,
세종특별자치도,2010,50.03,,
세종특별자치도,2010,48.24,,
세종특별자치도,2010,19.97,,
세종특별자치도,2010,0.0,,
세종특별자치도,2010,0.2,,
세종특별자치도,2010,0.01,,
세종특별자치도,2010,0.47,,
세종특별자치도,2010,0.0,,
세종특별자치도,2010,0.0,,
세종특별자치도,2010,125.39,,
세종특별자치도,2010,93.36,,
세종특별자치도,2010,27.82,,
세종특별자치도,2010,-3.29,,
세종특별자치도,2010,3.01,,
세종특별자치도,2010,0.0,,
세종특별자치도,2010,0.0,,
세종특별자치도,2010,4.5,,
세종특별자치도,2010,0.0,,
세종특별자치도,2010,39.18,,
세종특별자치도,2010,12.65,,
세종특별자치도,2010,8.37,,
세종특별자치도,2010,0.36,,
세종특별자치도,2010,17.81,,
세종특별자치도,2010,0.0,,
경기도,2010,69432.36,10200.0,6.8070941176470585
경기도,2010,60810.83,10200.0,5.961846078431373
경기도,2010,59302.82,10200.0,5.814001960784314
경기도,2010,59040.3,10200.0,5.788264705882353
경기도,2010,19737.89,10200.0,1.9350872549019607
경기도,2010,7884.62,10200.0,0.7730019607843137
경기도,2010,19813.42,10200.0,1.942492156862745
경기도,2010,11082.86,10200.0,1.0865549019607843
경기도,2010,521.52,10200.0,0.05112941176470588
경기도,2010,262.52,10200.0,0.02573725490196078
경기도,2010,12.48,10200.0,0.001223529411764706
경기도,2010,250.04,10200.0,0.02451372549019608
경기도,2010,4628.45,10200.0,0.45376960784313725
경기도,2010,92.74,10200.0,0.009092156862745098
경기도,2010,1.86,10200.0,0.0001823529411764706
경기도,2010,33.12,10200.0,0.0032470588235294115
경기도,2010,111.29,10200.0,0.010910784313725492
경기도,2010,3469.88,10200.0,0.3401843137254902
경기도,2010,0.0,10200.0,0.0
경기도,2010,919.56,10200.0,0.09015294117647059
경기도,2010,3936.7,10200.0,0.38595098039215686
경기도,2010,1035.49,10200.0,0.10151862745098039
경기도,2010,1308.0,10200.0,0.12823529411764706
경기도,2010,1134.58,10200.0,0.11123333333333332
경기도,2010,445.41,10200.0,0.04366764705882353
경기도,2010,0.0,10200.0,0.0
경기도,2010,1.33,10200.0,0.0001303921568627451
경기도,2010,0.25,10200.0,2.4509803921568626e-05
경기도,2010,11.63,10200.0,0.0011401960784313727
경기도,2010,0.0,10200.0,0.0
경기도,2010,0.0,10200.0,0.0
경기도,2010,-8621.53,10200.0,-0.8452480392156864
경기도,2010,-9026.93,10200.0,-0.884993137254902
경기도,2010,541.67,10200.0,0.05310490196078431
경기도,2010,-34.34,10200.0,-0.003366666666666667
경기도,2010,25.96,10200.0,0.0025450980392156862
경기도,2010,0.0,10200.0,0.0
경기도,2010,0.0,10200.0,0.0
경기도,2010,-127.89,10200.0,-0.012538235294117647
경기도,2010,0.0,10200.0,0.0
경기도,2010,1564.39,10200.0,0.153371568627451
경기도,2010,565.79,10200.0,0.05546960784313725
경기도,2010,26.47,10200.0,0.0025950980392156864
